opt,step,epoch,train_loss,grad_norm,update_norm,update_cos_prev,val_loss,val_acc
AdamW,0,0,0.7023045420646667,0.8558903336524963,0.3360740542411804,nan,0.6846116042137146,0.57
AdamW,10,0,0.7001720070838928,2.1039481163024902,0.12541453540325165,0.8629937171936035,0.6863348317146302,0.53
AdamW,20,0,0.6750917434692383,0.8025879859924316,0.11506595462560654,0.9040966033935547,0.668547785282135,0.585
AdamW,30,0,0.6089617609977722,1.939111351966858,0.12669216096401215,0.8689855337142944,0.6344374704360962,0.64625
AdamW,40,0,0.5997244119644165,3.8066210746765137,0.14640763401985168,0.8684754967689514,0.5671302950382233,0.71375
AdamW,50,0,0.5192773938179016,2.080631732940674,0.14940595626831055,0.929111123085022,0.6083963179588318,0.69125
AdamW,60,0,0.4951920211315155,4.300060749053955,0.12913458049297333,0.9153468012809753,0.6143642282485962,0.64125
AdamW,70,1,0.4484400153160095,4.097715854644775,0.12269867211580276,0.8677988052368164,0.5321427237987518,0.7375
AdamW,80,1,0.2974788546562195,4.231495380401611,0.13203534483909607,0.8935815095901489,0.5825283360481263,0.74375
AdamW,90,1,0.24523811042308807,5.4935526847839355,0.12078114598989487,0.8667443990707397,0.579240026473999,0.74875
AdamW,100,1,0.407720685005188,3.177912950515747,0.12371905148029327,0.8843910694122314,0.5441718220710754,0.74625
AdamW,110,1,0.27973872423171997,4.441591262817383,0.12171146273612976,0.9068852663040161,0.518793842792511,0.74
AdamW,120,1,0.37620800733566284,5.218823432922363,0.12709303200244904,0.8627932071685791,0.536553213596344,0.74625
AdamW,130,2,0.174526646733284,2.8837687969207764,0.10758247971534729,0.9290271997451782,0.577327835559845,0.74125
AdamW,140,2,0.12787871062755585,3.986259698867798,0.10928022116422653,0.9118609428405762,0.6773234128952026,0.75125
AdamW,150,2,0.171434685587883,8.502799034118652,0.09869217127561569,0.8612821102142334,0.7440384984016418,0.75875
AdamW,160,2,0.10157304257154465,5.671237468719482,0.13138248026371002,0.934700071811676,0.9492776417732238,0.6775
AdamW,170,2,0.32822179794311523,8.708677291870117,0.12753413617610931,0.8798977136611938,0.9534119200706482,0.6825
AdamW,180,2,0.14097483456134796,2.8184385299682617,0.09250626713037491,0.9071568846702576,0.7701778388023377,0.72
Muon-hybrid,0,0,0.7023045420646667,0.8558903336524963,0.20151005685329437,nan,0.6905952739715576,0.5325
Muon-hybrid,10,0,0.7170886397361755,2.4931640625,0.23485888540744781,0.7104721069335938,0.6812710237503051,0.605
Muon-hybrid,20,0,0.6737751364707947,1.0324792861938477,0.23391403257846832,0.7403472661972046,0.6776495432853699,0.5825
Muon-hybrid,30,0,0.6501845121383667,1.292791485786438,0.2334655225276947,0.7311111092567444,0.6491688323020935,0.665
Muon-hybrid,40,0,0.6504892706871033,3.035607099533081,0.2378297746181488,0.7332273721694946,0.6153801059722901,0.69
Muon-hybrid,50,0,0.5861511826515198,2.8380513191223145,0.24101229012012482,0.7891353964805603,0.5707403635978698,0.71375
Muon-hybrid,60,0,0.4634016752243042,2.412731647491455,0.24180637300014496,0.8225223422050476,0.5364696955680848,0.73625
Muon-hybrid,70,1,0.4196890592575073,4.618493556976318,0.23633727431297302,0.7829639315605164,0.5174514389038086,0.735
Muon-hybrid,80,1,0.32710516452789307,4.173255443572998,0.23822560906410217,0.8175426125526428,0.5251806831359863,0.7575
Muon-hybrid,90,1,0.18510156869888306,3.589181900024414,0.2329978048801422,0.8639823198318481,0.591802681684494,0.74125
Muon-hybrid,100,1,0.2768084704875946,3.297527313232422,0.2379286289215088,0.8587546348571777,0.5857895255088806,0.75125
Muon-hybrid,110,1,0.31590041518211365,4.5814995765686035,0.23787884414196014,0.823283314704895,0.6156620740890503,0.73625
Muon-hybrid,120,1,0.4841794967651367,6.57444953918457,0.23920974135398865,0.8402926921844482,0.5802875018119812,0.72125
Muon-hybrid,130,2,0.1294480413198471,1.4792944192886353,0.23398306965827942,0.9270829558372498,0.5357034087181092,0.735
Muon-hybrid,140,2,0.17235618829727173,3.7131521701812744,0.2312350869178772,0.8904435634613037,0.608502812385559,0.75
Muon-hybrid,150,2,0.10125117748975754,4.521739959716797,0.22773213684558868,0.8860520720481873,0.7190222382545471,0.75
Muon-hybrid,160,2,0.15931110084056854,6.7106218338012695,0.23089490830898285,0.8268048167228699,0.795160768032074,0.74375
Muon-hybrid,170,2,0.04960287734866142,3.509934186935425,0.2273416668176651,0.9311767220497131,0.8144835948944091,0.73625
Muon-hybrid,180,2,0.1721111685037613,4.676468849182129,0.22959381341934204,0.9052897691726685,0.7278197383880616,0.74625
